饱 嗝,打 饱 嗝
乳 腺 可 有 结 节,乳 腺 结 节
关 节 疼 痛,关 节 部 位 疼 痛
关 节 痛,关 节 部 位 疼 痛
眼 眶 部 位 疼 痛,眼 眶 疼 痛
骶 髂 关 节 部 位 疼 痛,骶 髂 关 节 疼 痛
尾 骨 痛,尾 骨 部 位 疼 痛
头 部 钝 痛,头 部 呈 钝 痛
头 部 呈 钝 痛,头 部 钝 痛
肾 区 叩 痛,肾 区 有 叩 痛
肾 区 叩 痛,肾 区 叩 击 痛
肾 区 有 叩 痛,肾 区 叩 痛
肾 区 叩 击 痛,肾 区 叩 痛
皮 肤 潮 红,皮 肤 发 生 潮 红
皮 肤 发 生 潮 红,皮 肤 潮 红
乳 房 肿 块,乳 房 有 肿 块
皮 肤 有 出 血 点,皮 肤 出 血 点
皮 肤 水 疱,皮 肤 形 成 水 疱
皮 肤 水 疱,皮 肤 水 疱 形 成
皮 肤 形 成 水 疱,皮 肤 水 疱
皮 肤 水 疱 形 成,皮 肤 水 疱
腹 部 包 块,腹 部 有 包 块
心 悸 乏 力,心 悸 伴 乏 力
恶 心 呕 吐,恶 心 与 呕 吐
畏 光 流 泪,畏 光 及 流 泪
烧 心 与 反 酸,烧 心 反 酸
头 痛 呕 吐,头 痛 并 呕 吐
少 尿 无 尿,少 尿 或 无 尿
恶 心 或 呕 吐,恶 心 呕 吐
便 秘 或 腹 泻,腹 泻 或 便 秘
丘 疹 结 节,丘 疹 或 结 节
肿 胀 疼 痛,疼 痛 和 肿 胀
腹 泻 或 便 秘,便 秘 或 腹 泻
红 斑 丘 疹,红 斑 或 丘 疹
肿 胀 及 疼 痛,肿 胀 疼 痛
腹 痛 恶 心 呕 吐,腹 痛 伴 恶 心 、 呕 吐
腹 痛 伴 腹 泻,腹 痛 腹 泻
腹 痛 伴 便 血,腹 痛 便 血
新 生 儿 乳 房 肿 大 泌 乳,新 生 儿 乳 房 肿 大 和 泌 乳
小 腿 腓 部 肌 肉 疼 痛 和 压 痛,小 腿 腓 部 肌 肉 疼 痛 压 痛
下 肢 肿 胀 乏 力,下 肢 肿 胀 和 乏 力
上 肢 麻 木 疼 痛,上 肢 麻 木 或 疼 痛
结 膜 充 血 和 水 肿,结 膜 水 肿 充 血
局 部 疼 痛 肿 胀,局 部 疼 痛 与 肿 胀
胎 样 心 音,可 呈 胎 样 心 音
妊 娠 疹,妊 娠 发 疹
呼 吸 衰 竭,呼 吸 功 能 衰 竭
肢 体 远 侧 麻 痛,肢 体 远 端 麻 痛
肢 体 远 端 麻 痛,肢 体 远 侧 麻 痛
异 常 瞳 孔,瞳 孔 异 常
瞳 孔 异 常,异 常 瞳 孔
溃 疡 穿 孔 或 出 血,溃 疡 穿 孔 出 血
异 常 阴 道 出 血,阴 道 异 常 出 血
难 产,难 产 症 状
难 产 症 状,难 产
紫 癜,紫 斑
紫 斑,紫 癜
闭 经,停 经
停 经,闭 经
牙 痛,牙 齿 萌 出 疼 痛
乳 头 破 裂,乳 头 破 碎
乳 头 破 碎,乳 头 破 裂
失 嗅,嗅 觉 丧 失
嗅 觉 丧 失,失 嗅
毛 发 脱 落,毛 发 呈 脱 发 样
毛 发 呈 脱 发 样,毛 发 脱 落
白 色 尿 液,乳 白 色 尿
喉 痒,喉 咙 痒
喉 咙 痒,喉 痒
川 字 纹,眉 间 纹
关 节 疼 痛,关 节 痛
关 节 痛,关 节 疼 痛
胃 疼,胃 脘 痛
胃 脘 疼,胃 痛
胃 疼,胃 痛
胃 痛,胃 疼
男 子 性 功 能 障 碍,阳 萎
男 性 性 功 能 障 碍,阳 萎
阳 萎,男 子 性 功 能 障 碍
阳 萎,男 性 性 功 能 障 碍
嗜 盐,嗜 盐 症
心 悸,心 慌
心 慌,心 悸
发 烧,发 热
发 热,发 烧
胸 痛,胸 部 疼 痛
胸 部 疼 痛,胸 痛
浑 身 酸 痛,全 身 酸 痛
全 身 酸 痛,浑 身 酸 痛
牙 疼,牙 痛
牙 疼,牙 齿 疼 痛
牙 齿 疼 痛,牙 疼
选 择 恐 惧 症,选 择 困 难 症
选 择 困 难 症,选 择 恐 惧 症
小 便 带 血,尿 血
尿 血,小 便 带 血
脚 麻,脚 发 麻
脚 发 麻,脚 麻
足 部 发 麻,脚 发 麻
脚 发 麻,足 部 发 麻
白 带 有 血 丝,白 带 带 血
白 带 带 血,白 带 有 血 丝
心 房 内 形 成 混 合 血,心 房 混 合 血
心 房 混 合 血,心 房 内 形 成 混 合 血
心 脏 淤 积 淀 粉 样 物 质,心 脏 淤 积 淀 粉
心 脏 淤 积 淀 粉,心 脏 淤 积 淀 粉 样 物 质
休 克 较 久 后 的 肺 部 病 变,休 克 肺
休 克 肺,休 克 较 久 后 的 肺 部 病 变
血 流 过 度,血 流 过 多
血 流 过 多,血 流 过 度
心 肌 细 胞 的 浊 肿,心 肌 浊 肿
心 肌 浊 肿,心 肌 细 胞 的 浊 肿
不 举,阳 萎
阳 萎,不 举
吞 酸,咽 酸
咽 酸,吞 酸
心 脏 功 能 失 代 偿,心 功 能 失 代 偿
心 功 能 失 代 偿,心 脏 功 能 失 代 偿
异 常 体 位 所 致 的 窒 息,体 位 性 窒 息
体 位 性 窒 息,异 常 体 位 所 致 的 窒 息
心 肌 冬 眠 现 象,心 肌 冬 眠
心 肌 冬 眠,心 肌 冬 眠 现 象
抬 肩 以 助 呼 吸,肩 息
心 脏 僵 硬,心 脏 硬 化
心 脏 硬 化,心 脏 僵 硬
微 循 环 灌 注 不 良,微 循 环 灌 注 障 碍
微 循 环 灌 注 障 碍,微 循 环 灌 注 不 良
水 气 胸,液 气 胸
液 气 胸,水 气 胸
血 流 迟 缓,血 流 阻 力
血 流 阻 力,血 流 迟 缓
应 激 功 能 减 退,应 激 障 碍
应 激 障 碍,应 激 功 能 减 退
心 肌 脓 肿,心 肌 浮 肿
心 肌 浮 肿,心 肌 脓 肿
肘 部 痛,肘 痛
肘 痛,肘 部 痛
局 部 软 组 织 浸 润,局 部 软 组 织 渗 透
局 部 软 组 织 渗 透,局 部 软 组 织 浸 润
眩 闷 口 眼 偏 斜,眩 闷 口 眼 歪 斜
眩 闷 口 眼 歪 斜,眩 闷 口 眼 偏 斜
阑 尾 腔 闭 塞,阑 尾 腔 梗 阻
阑 尾 腔 梗 阻,阑 尾 腔 闭 塞
吐 逆 滑 泄,吐 逆 滑 泻
身 体 的 低 垂 部 位 水 肿,低 垂 性 水 肿
低 垂 性 水 肿,身 体 的 低 垂 部 位 水 肿
喜 讲 秽 语,秽 语 癖
思 维 控 制 异 常,思 维 被 夺
限 局 性 巩 膜 膨 隆 肿 物,后 巩 膜 葡 萄 肿
交 替 使 用 双 眼,交 替 视
交 替 视,交 替 使 用 双 眼
骨 髓 象 改 变,骨 髓 象 异 常
骨 髓 象 异 常,骨 髓 象 改 变
脉 来 弦 象,弦 脉
脉 来 弦 象,脉 弦
讷 吃,发 音 困 难
发 音 困 难,发 音 障 碍
下 痢 赤 白 粘 冻,赤 白 痢
心 脏 复 苏,心 脏 复 元
眼 - 头 反 射 消 失,头 眼 反 射 消 失
头 眼 反 射 消 失,头 眼 反 射 消 失
爪 甲 青 紫,爪 甲 不 荣
面 色 觥 白,面 色 苍 白
夜 游 症,睡 行 症
睡 行 症,夜 游 症
痰 鸣 气 急,痰 鸣 气 喘
痰 鸣 气 喘,痰 鸣 气 急
眼 睑 闭 合 障 碍,眼 睑 闭 合 不 全
眼 睑 闭 合 不 全,眼 睑 闭 合 障 碍
一 过 性 尿 蛋 白,暂 时 性 尿 蛋 白
肌 肉 的 失 用 性 萎 缩,废 用 性 肌 肉 病 变
震 颤 性 肌 强 直 运 动 徐 缓,麻 痹 性 震 颤 综 合 征
骨 增 粗,骨 增 厚
面 赤 如 涂 朱,面 红
中 风 偏 瘫,风 痱
心 肌 顿 抑,缺 血 后 心 肌 功 能 障 碍
心 脏 毒 性 作 用,心 脏 毒 性
内 向 性 思 维,非 现 实 性 思 维
异 位 钙 化,异 位 骨 化
邪 恋 正 虚,正 虚 邪 恋
绝 汗,脱 汗
精 神 依 赖 性,心 理 依 赖 性
爪 甲 不 荣,爪 甲 青 紫
站 立 久 后 的 浮 肿,体 位 性 浮 肿
喉 肌 无 力,声 带 肌 无 力
胰 腺 外 分 泌 功 能 不 良,胰 腺 外 分 泌 功 能 不 全
运 动 气 喘,劳 动 后 气 喘
无 梦,无 梦 睡 眠
羞 明,羞 明 畏 日
羞 明,怕 日 羞 明
羞 明,畏 日
羞 明,畏 明
痛 引 肩 背,肩 背 痛
感 觉 分 离,咳 嗽
嗌 塞,咽 阻 塞
心 脏 压 塞 征 象,心 脏 压 塞
牙 龈 肿 痛,齿 龈 肿 痛
罗 圈 腿,O 形 腿
罗 圈 腿,弓 形 腿
O 形 腿,罗 圈 腿
弓 形 腿,罗 圈 腿
心 脏 猝 死,心 脏 性 猝 死
心 脏 性 猝 死,心 脏 猝 死
恋 兽 癖,恋 兽 型 性 变 态
心 功 能 失 代 偿,心 力 衰 竭
甲 状 旁 腺 功 能 亢 进,甲 旁 亢
遗 精 滑 泄,遗 精 滑 精
啤 酒 肚,罗 汉 肚
口 燥 咽 干,咽 干 口 燥
头 沉,头 重
头 重 沉,头 沉 重
头 沉,头 部 沉 重
头 部 沉 重,头 沉
脑 袋 沉 重,头 沉
头 沉,脑 袋 沉 重
头 部 沉 重,脑 袋 沉 重
脑 袋 沉 重,头 部 沉 重
烂 嘴 角,口 角 皲 裂
夜 惊,睡 惊
阳 虚 体 质,阳 虚 质
核 黄 疸,胆 红 素 脑 病
性 发 育 慢,性 幼 稚
手 足 逆 冷,手 足 厥 冷
无 故 发 笑,傻 笑
无 瘙 痒 无 肝 胆 疾 病 的 皮 肤 黄 染,假 性 黄 疸 相
动 眼 危 象,动 眼 痉 挛
锥 体 束 病 损,阳 性 锥 体 束 征
低 血 磷,低 磷 血 症
血 清 H D L - C 水 平 减 低,血 清 H D L - C 水 平 减 少
口 渴 引 饮,烦 渴 引 饮
胸 廓 异 常,异 常 胸 廓
齿 迟,齿 不 生
心 脏 结 构 异 常,心 脏 结 构 不 正 常
鼻 梁 平 塌,鞍 鼻
睡 眠 时 睑 闭 合 不 全,睁 眼 睡 觉
四 肢 乏 力,四 肢 俱 软
四 肢 俱 软,四 肢 乏 力
发 际 作 痛,少 阳 作 痛
精 神 过 敏,神 经 过 敏
尿 暗 黑 色,暗 褐 色 尿
行 走 后 小 腿 肌 肉 痉 挛,行 走 后 小 腿 抽 筋
行 走 后 小 腿 抽 筋,行 走 后 小 腿 肌 肉 痉 挛
假 期 综 合 症,节 后 综 合 症
水 冲 脉,陷 落 脉
额 上 汗 出,额 汗
蛙 状 腹,蛙 形 腹
蛙 形 腹,蛙 状 腹
水 肿,积 水
恶 心,反 胃
反 胃,恶 心
眼 睑 浮 肿,眼 睑 水 肿
眼 睑 水 肿,眼 睑 浮 肿
鼻 腔 不 能 关 闭 引 起 的 鼻 音,开 放 性 鼻 音
新 生 儿 长 牙,乳 牙 早 萌
癌 性 疼 痛,癌 痛
胃 肠 功 能 不 良,胃 肠 功 能 神 经 官 能 症
意 向 性 震 颤,动 作 性 震 颤
耳 廓 牵 拉 疼,耳 廓 牵 引 痛
耳 廓 牵 引 疼,耳 廓 牵 拉 痛
血 流 动 力 学 障 碍,血 流 障 碍
精 神 创 伤,心 理 创 伤
心 理 创 伤,精 神 创 伤
关 节 僵 直,关 节 活 动 障 碍
思 维 松 弛,思 维 散 漫
胸 部 紧 迫 或 束 带 感,胸 部 紧 迫
巅 顶 疼 痛,巅 顶 痛
巅 顶 疼 痛,顶 巅 痛
巅 顶 痛,巅 顶 疼 痛
巅 顶 痛,顶 巅 疼 痛
牙 关 紧 闭,牙 关 紧 闭 症
痣 细 胞,痣 细 胞 痣
流 口 水,口 涎 外 溢
腹 痛 腹 泻,腹 痛 下 痢
腹 痛 下 痢,腹 痛 腹 泻
腹 痛 下 泻,腹 痛 下 痢
腹 痛 下 痢,腹 痛 下 泻
胃 失 和 降,胃 气 不 降
弯 曲 不 利,关 节 僵 硬
言 语 紊 乱,语 言 障 碍
静 脉 豆,静 脉 窦
手 足 厥 冷,四 肢 逆 冷
晕 轮 效 应,光 环 效 应
学 习 困 难,学 习 障 碍
排 精 不 畅,射 精 不 畅
胡 子 稀 疏,胡 须 稀 疏
窜 痛,走 窜 痛
窜 痛,游 走 痛
斗 鸡 眼,眼 球 偏 斜
斗 鸡 眼,对 眼
斗 鸡 眼,斜 白 眼
口 渴 喜 饮,烦 渴 多 饮
行 走 时 发 生 腓 肠 肌 麻 木,腓 肠 肌 麻 木
气 息 异 常,异 常 气 息
潮 式 呼 吸,陈 - 施 呼 吸
齿 龈 生 疳,牙 疳
乳 汁 分 泌 减 少,少 乳
肌 张 力 降 低,肌 张 力 不 够
呼 吸 功 能 衰 竭,呼 吸 衰 竭
门 诊 高 血 压,白 大 衣 高 血 压
孕 妇 全 身 性 水 肿,妊 娠 中 毒 性 水 肿
两 条 腿 不 一 样 长,两 下 肢 不 等 长
两 下 肢 不 等 长,两 条 腿 不 一 样 长
双 腿 不 一 样 长,双 下 肢 不 等 长
双 下 肢 不 等 长,双 腿 不 一 样 长
两 腿 不 一 样 长,两 下 肢 不 等 长
两 下 肢 不 等 长,两 腿 不 一 样 长
双 腿 不 一 样 长,两 下 肢 不 等 长
两 下 肢 不 等 长,双 腿 不 一 样 长
双 腿 不 等 长,双 下 肢 不 等 长
双 下 肢 不 等 长,双 腿 不 等 长
两 腿 不 等 长,两 下 肢 不 等 长
两 下 肢 不 等 长,两 腿 不 等 长
双 腿 不 等 长,两 下 肢 不 等 长
两 下 肢 不 等 长,双 腿 不 等 长
眼 睛 胀 痛,目 珠 胀 痛
目 珠 胀 痛,眼 睛 胀 痛
颧 红,颧 赤
颧 赤,颧 红
摇 头,头 摇
溺 多 而 频,尿 多 而 频
眼 球 不 能 随 意 动,眼 球 运 动 障 碍
皖 腹 痞 闷,脘 腹 痞 闷
小 便 淋 漓,小 便 不 尽
吐 酸,吐 酸 水
伤 口 结 疤,痂 皮
疤 痕 萎 缩 凹 陷,萎 缩 性 疤 痕
便 如 柏 油,柏 油 便
构 音 障 碍,构 音 困 难
构 音 困 难,构 音 障 碍
绷 急 疼 痛,紧 绷 疼 痛
紧 绷 疼 痛,绷 急 疼 痛
胃 肠 道 功 能 不 好,胃 肠 道 功 能 紊 乱
体 型 异 常,异 常 体 型
异 常 体 型,体 型 异 常
指 甲 出 现 条 纹 或 斑 点,指 甲 凹 变
手 心 热,手 心 灼 热
手 心 灼 热,手 心 热
舌 尖 边 红,红 舌
红 舌,舌 尖 边 红
感 觉 迟 钝,感 觉 抑 制
耳 溢 液,耳 漏
神 志 恍 惚,神 志 不 清
恋 足 癖,迷 恋 足 部 或 鞋 袜
不 自 主 运 动,不 随 意 运 动
血 管 迷 走 性 晕 厥,血 管 迷 走 神 经 性 晕 厥
胃 胀,心 胃 胀 满
心 胃 胀 满,胃 胀
心 脏 “ 偷 停 ” 感,心 脏 骤 停
孕 妇 乏 力,孕 妇 疲 倦
孕 妇 乏 力,孕 妇 无 力
孕 妇 无 力,孕 妇 乏 力
多 根 肋 骨 骨 折,多 发 性 肋 骨 骨 折
孕 妇 发 烧,妊 娠 发 热
妊 娠 发 烧,孕 妇 发 热
孕 妇 发 热,妊 娠 发 烧
妊 娠 发 热,孕 妇 发 烧
大 便 习 惯 改 变,大 便 无 规 律
孕 妇 拉 肚 子,孕 妇 腹 泻
部 位 不 定 的 疼 痛,游 走 性 疼 痛
多 食,食 量 增 加
鼻 干,鼻 干 燥
胃 酸 过 多,泛 酸
心 音 异 常,异 常 心 音
女 性 性 器 官 反 应 缺 乏,女 性 性 唤 起 障 碍
足 痛,脚 痛
面 部 脱 皮,脸 脱 皮
气 虚 体 质,气 虚 质
新 生 儿 拉 肚 子,新 生 儿 腹 泻
偏 瘫,半 身 不 遂
舌 胖 有 齿 痕,齿 痕 舌
恐 惧,惊 慌 害 怕
兔 唇,唇 裂
兔 裂,唇 唇
向 心 性 肥 胖,中 心 型 肥 胖
足 底 脱 皮,脚 板 脱 皮
下 腹 压 痛,下 腹 部 压 痛
食 欲 异 常,异 常 食 欲
肝 气 不 足,肝 气 虚
肝 腹 水,肝 硬 化 腹 水
幻 觉,错 觉
错 觉,幻 觉
痘 印,痘 疤
阴 虚 体 质,阴 虚 质
呼 吸 衰 竭,呼 衰
呼 衰,呼 吸 衰 竭
泌 尿 系 统 感 染,泌 尿 系 感 染
面 部 水 肿,水 肿 脸
气 血 不 足,气 血 虚 弱
稽 留 流 产,过 期 流 产
稽 留 流 产,死 胎 不 下
视 物 模 糊,雾 视
抽 搐,抽 筋
抽 筋,抽 搐
颜 面 潮 红,脸 部 潮 红
疤 痕 增 生,疤 痕 瘤
盗 汗,寝 汗
肾 气 虚,肾 虚
腹 腔 积 液,腹 水
紫 绀,发 绀
打 呼 噜,打 鼾
打 呼 噜,鼾 症
情 绪 低 落,情 绪 抑 郁
毛 细 血 管 扩 张,毛 细 血 管 扩 张 症
呼 吸 异 常,异 常 呼 吸
声 音 嘶 哑,声 嘶
声 嘶,声 音 嘶 哑
糖 尿,葡 萄 糖 尿
胃 肠 气 胀,胃 肠 胀 气
吞 咽 困 难,咽 下 困 难
梦 游,梦 游 症
梦 游 症,梦 游
打 嗝,呃 逆
流 鼻 血,鼻 衄
水 泡,水 疱
脑 干 出 血,桥 脑 出 血
疲 劳,疲 乏
月 经 推 迟,经 期 推 迟
嗳 气,打 饱 嗝
嗳 气,饱 嗝
嗳 气,噫 气
尿 隐 血,尿 潜 血
怕 冷,畏 寒
背 痛,背 部 疼 痛
眼 屎 多,眼 部 分 泌 物 多
干 咳,干 嗽
干 咳 嗽,干 咳
干 咳,干 性 咳 嗽
血 精,精 血
阴 道 分 泌 物 增 多,白 带 分 泌 增 多
肝 区 痛,肝 区 疼 痛
肝 区 痛,肝 脏 疼 痛
肝 区 疼 痛,肝 区 痛
肝 区 疼 痛,肝 脏 痛
咳 血,嗽 血
脾 胃 虚 弱,脾 胃 气 虚
低 烧,低 热
黑 眼 圈,熊 猫 眼
下 肢 浮 肿,下 肢 水 肿
阴 道 干 涩,阴 道 干 燥 症
经 期 提 前,月 经 先 期
扁 桃 体 肥 大,腺 样 体 肥 大
泌 尿 系 感 染,尿 感
胸 部 下 垂,乳 房 下 垂
腋 窝 有 异 味,狐 臭
寒 战,寒 颤
口 甜,口 甘
口 甘,口 甜
收 缩 压 上 升,高 压 上 升
高 压 上 升,收 缩 压 上 升
杯 状 耳,环 缩 耳
暴 牙,龅 牙
龅 牙,暴 牙
暴 牙,上 下 颌 前 突
暴 牙,突 颌 畸 形
不 完 全 性 房 内 阻 滞,不 完 全 性 心 房 内 阻 滞
不 能 向 尺 侧 屈 腕 及 屈 环 小 指 远 侧 指 关 节,不 可 向 尺 侧 屈 腕 及 屈 环 小 指 远 侧 指 关 节
足 踝 扭 伤,足 踝 捩 伤
子 宫 下 垂,子 宫 脱 垂
子 宫 脱 垂,子 宫 下 垂
注 意 力 缺 乏 多 动 症,注 意 力 缺 失 过 动 症
注 意 力 缺 失 多 动 症,注 意 力 缺 乏 过 动 症
注 意 力 缺 乏 多 动 症,注 意 力 缺 陷 多 动 症
周 身 炎 症 反 应,周 身 炎 症 反 应 综 合 征
中 暑,热 射 病
中 暑,伤 暑
痔 块 脱 垂,痔 块 脱 出
足 跟 骨 刺,足 跟 骨 质 增 生
足 跟 骨 质 增 生,足 跟 骨 刺
种 植 播 散,种 植 性 转 移
足 外 翻,外 翻 仰 伸 足
醉 酒,酒 精 中 毒
坐 板 疮,痤 痱 疮
坐 板 疮,风 疳
子 喑,妊 娠 失 音
早 晨 上 下 眼 睑 粘 连,早 晨 上 下 眼 皮 粘 连
掌 心 凹 消 失 或 稍 隆 起,手 心 凹 消 失 或 稍 隆 起
蔗 糖 - 异 麦 芽 糖 吸 收 不 良,双 糖 不 耐 受 症
阵 发 性 夜 间 呼 吸 困 难,阵 发 性 夜 间 呼 吸 不 畅
支 气 管 分 泌 物 增 加,支 气 管 分 泌 物 多
肢 体 或 躯 干 姿 势 异 常,肢 体 或 躯 干 姿 势 不 正 常
肢 体 局 部 皮 肤 颜 色 和 温 度 改 变,肢 体 局 部 的 皮 肤 颜 色 和 温 度 改 变
肢 体 远 侧 常 有 麻 痛,肢 体 远 端 麻 痛
胃 痛,胃 脘 痛
牙 痛,牙 疼
柏 油 便,便 如 柏 油
打 嗝,打 呃
巅 顶 痛,顶 巅 痛
室 颤,心 室 颤 动
学 习 障 碍,学 习 困 难
半 身 不 遂,偏 瘫
胞 衣 不 下,息 胎
胞 衣 不 下,息 胞
暴 露 处 皮 肤 色 素 沉 着,外 露 皮 肤 色 素 沉 着
足 下 垂,趾 垂 症
足 胫 软 弱,脚 弱
足 和 足 趾 不 能 背 屈,脚 和 脚 趾 头 不 能 背 屈
足 跟 蓝 黑 色 或 黑 色 斑 点,脚 后 跟 蓝 黑 色 或 黑 色 斑 点
足 底 部 穿 凿 性 溃 疡,脚 底 穿 凿 性 溃 疡
子 宫 有 局 限 性 轻 压 痛,子 宫 局 限 性 轻 压 痛
足 颤,脚 颤
足 背 及 胫 后 脉 搏 减 弱,足 背 及 胫 后 动 脉 搏 动 减 弱
注 射 针 眼 和 手 术 切 口 出 血,注 射 针 眼 和 手 术 切 口 渗 血
足 背 动 脉 搏 动 消 失,足 背 动 脉 摸 不 到
肘 关 节 伸 直 内 翻 角 增 大,肘 关 节 伸 直 位 内 翻 角 增 大
周 围 组 织 灌 注 不 良,咳 嗽
周 期 性 嗜 睡 强 食 症,周 期 性 嗜 睡 强 食
中 枢 神 经 抑 制 药 诱 发 昏 迷,中 枢 神 经 抑 制 药 诱 发 昏 睡
中 上 腹 持 续 性 疼 痛,中 上 腹 持 续 性 疼
痔 疮,痔 核
指 甲 中 央 部 分 隆 起,指 甲 中 央 部 分 凸 起
植 物 神 经 功 能 障 碍,植 物 神 经 功 能 紊 乱
肢 体 远 端 出 现 腕 垂 踝 垂,肢 体 远 端 腕 垂 踝 垂
癥 瘕,症 瘕
阵 挛,搐 搦
招 风 耳,扇 风 耳
直 立 低 血 压 性 晕 厥,直 立 性 低 血 压 晕 厥
早 搏,期 前 收 缩
孕 妇 仰 卧 位 低 血 压,下 腔 静 脉 综 合 征
孕 妇 贫 血,妊 娠 贫 血
孕 妇 非 妊 娠 原 因 腹 痛,孕 妇 非 妊 娠 原 因 的 肚 子 痛
云 雾 移 睛,玻 璃 体 混 浊
晕 厥,昏 厥
月 经 提 前,经 期 超 前
月 经 提 前,经 行 先 期
月 经 提 前,经 早
月 经 失 调,月 经 不 调
月 经 失 调,月 经 紊 乱
猿 手 畸 形,猿 形 手
与 脉 搏 相 一 致 的 眼 球 跳 动,眼 球 跳 动 与 脉 搏 一 致
瘀 血,瘀 斑
右 侧 束 支 传 导 阻 滞,右 侧 束 支 传 导 受 阻
圆 形 或 卵 圆 形 丘 疹 或 结 节,圆 形 或 卵 圆 形 疙 瘩
头 皮 有 黄 色 结 痂,头 皮 黄 色 结 痂
阴 疮,阴 蚀
易 性 别 癖,性 别 转 换 症
抑 郁 症,抑 郁 障 碍
异 食 癖,异 食 症
以 偷 窥 为 快 感 源 泉 的 性 变 态,窥 淫 癖
遗 尿,尿 床
遗 精,失 精
一 过 性 红 斑 狼 疮 样,一 过 性 红 斑 狼 疮
药 疹,药 物 性 皮 炎
药 物 依 赖,药 物 成 瘾
女 性 性 交 疼 痛,女 性 房 事 疼 痛
女 性 房 事 疼 痛,女 性 性 交 疼 痛
腰 痛,腰 疼
阳 痿,勃 起 功 能 障 碍
眼 震,眼 颤
眼 胞 浮 肿,眼 睑 浮 肿
眼 胞 浮 肿,眼 睑 水 肿
言 语 错 乱,言 语 紊 乱
咽 喉 异 物 感,咽 癔 症
咽 干,嗌 干
咽 干,嗌 燥
牙 齿 酸 弱,牙 齿 痠 弱
牙 齿 焦 黑,齿 焦
血 虚 阴 亏 手 足 心 热,虚 热 型 手 足 心 热
血 虚 眩 运,血 虚 眩 晕
血 清 免 疫 球 蛋 白 升 高,血 清 免 疫 球 蛋 白 可 升 高
血 清 睾 酮 浓 度 明 显 升 高,高 睾 酮 血 症
血 清 睾 酮 浓 度 明 显 升 高,高 雄 激 素 血 症
血 汗,红 汗
血 灌 瞳 神,血 灌 瞳 仁
血 管 过 敏 性 炎 症,过 敏 性 血 管 炎
眩 晕,晕 眩
悬 旗 风,悬 雍 下 垂
胸 水,胸 腔 积 液
胸 式 呼 吸,肋 式 呼 吸 法
崩 中,血 崩
鼻 出 血,鼻 衄
鼻 孔 外 露,朝 天 鼻
鼻 煽,鼻 翼 煽 动
鼻 酸,鼻 痠
鼻 中 隔 向 一 侧 或 两 则 弯 曲,鼻 中 隔 弯 曲
扁 桃 体 变 小 而 坚 韧,扁 桃 体 小 而 韧
便 潜 血,便 隐 血
髌 骨 缺 失 或 发 育 不 良,髌 骨 缺 少 或 发 育 不 良
背 痛,背 部 痛
不 射 精,射 精 不 能
背 部 痛,背 痛
藏 毛 窦,皮 毛 窦
层 状 鱼 鳞 癣,层 状 鱼 鳞 病
产 后 恶 露 不 净 有 臭 味,产 后 恶 露 不 净 且 有 臭 味
齿 龈 增 生,牙 龈 增 生
处 女 膜 闭 锁,处 女 膜 无 孔
唇 腭 裂,兔 唇
多 耳,副 耳
非 感 染 性 喉 头 水 肿,非 感 染 性 喉 水 肿
非 感 染 性 喉 头 水 肿,喉 头 出 现 非 感 染 性 水 肿
非 感 染 性 喉 水 肿,非 感 染 性 喉 头 水 肿
非 感 染 性 喉 水 肿,喉 头 出 现 非 感 染 性 水 肿
肥 胖,超 重
