癌 症 晚 期 胃 肠 道 症 状,不 稳 定 性 心 绞 痛
喘,老 年 性 色 斑 异 常
喘,尿 道 口 有 红 斑 和 水 肿
喘,皮 下 淤 斑
喘,全 身 皮 肤 散 在 黑 痣
喘,乳 晕 深 部 可 扪 及 肿 块
喘,舌 生 芒 刺
喘,外 阴 肿 痛
喘,下 背 部 酸 痛
喘,性 冷 淡
喘,咽 喉 及 口 内 刺 痒
喘,眼 球 压 痛
喘,痒
喘,腰 背 的 持 续 隐 痛
喘,腰 腿 痛
喘,阴 虚 血 亏 潮 热
喘,右 下 腹 绞 痛
喘,阵 发 性 腹 绞 痛
喘,肿
喘 鸣,豆 渣 样 白 带
喘 息,口 干 口 苦
低 钾,色 素 性 皮 疹
低 血 压,胆 结 石 绞 痛
肚 子 疼,持 续 性 中 度 疼 痛 肿 胀
肚 子 疼,外 阴 疼 痛
多 食,肝 功 能 衰 竭
多 涎,烦 躁 或 昏 睡
呃 逆,颈 椎 肥 大
恶 露 不 断,紧 张 性 头 痛
耳 痒,饭 后 胃 痛
耳 廓 畸 形,肛 门 发 育 不 全
耳 廓 畸 形,鼓 膜 充 血
耳 廓 畸 形,胸 部 异 常 实 音
耳 聋,耳 核 肿 痛
耳 聋,尿 流 中 断
耳 聋,手 指 屈 伸 时 产 生 弹 响 、 疼 痛
耳 聋,招 风 耳
耳 鸣,剧 烈 运 动 后 腰 痛
耳 痛,耳 垂 里 有 硬 疙 瘩
耳 痛,耳 骨 外 翻
耳 痛,无 故 发 笑
发 癍,小 儿 过 敏 性 咳 嗽
发 癫,女 性 周 期 性 鼻 塞 和 鼻 衄
发 黄,酒 精 性 肝 硬 化
发 热,慢 性 腹 泻
发 热,疼 痛 及 压 痛 明 显
发 热,月 经 期 头 胀 痛
发 烧,活 动 时 心 悸 胸 闷
发 烧,突 然 出 现 剧 烈 的 腰 痛
发 烧,腿 部 酸 胀 疼 痛
烦 躁,腰 酸 背 痛
反 射 异 常,齿 龈 铅 线
反 射 异 常,颈 椎 分 节 异 常
反 射 异 常,强 迫 症
反 胃,排 尿 时 外 阴 灼 热 、 瘙 痒 或 疼 痛
返 酸,腹 痛 腹 泻
房 颤,孕 中 期 腹 痛
肥 胖,职 业 病 性 腰 背 痛
肺 部 感 染,耳 道 堵 塞
肺 部 感 染,肛 门 狭 窄
肺 部 感 染,胸 部 过 清 音
腹 痛,继 发 性 营 养 不 良
腹 痛,手 或 脚 感 觉 疼 痛
腹 痛,婴 儿 脚 气
腹 部 肿 块,脾 胃 气 虚 潮 热
腹 水,孕 妇 尿 频 尿 急 尿 痛
腹 泻,产 后 小 腹 坠 痛
腹 泻,痘 疮 失 音
腹 泻,脓 痰
腹 泻,手 指 冻 肿
钙 化,浑 身 发 冷
肝 硬 化,非 疾 病 性 恶 心 呕 吐
肝 功 能 异 常,女 性 体 毛 多
肝 功 能 异 常,胸 部 异 常 浊 音
肝 功 能 异 常,牙 列 拥 挤
肝 区 痛,肌 肉 抽 动
感 觉 功 能 异 常,咯 鲜 血
感 觉 功 能 异 常,实 质 性 内 脏 痛
感 觉 功 能 异 常,吸 气 困 难
肛 裂,失 眠 头 痛
肛 门 病 变,肝 脏 病 变 弥 漫
肛 门 病 变,脊 髓 性 间 歇 破 行
肛 门 病 变,精 子 活 力 低
肛 门 畸 形,端 坐 呼 吸
肛 门 畸 形,口 腔 唇 系 带 粗 大
肛 门 畸 形,手 掌 疤 痕 畸 形
肛 门 疼 痛,急 性 腹 痛
肛 门 疼 痛,假 牙 疼 痛
肛 门 疼 痛,血 性 腹 泻
肛 门 痛,喉 麻 痹
肛 周 脓 肿,肛 门 外 翻
肛 周 脓 肿,乳 房 肿 块
肛 周 脓 肿,舌 淡 白 而 光
高 血 压,高 血 脂
高 血 压,饥 饿 时 胃 痛
高 血 压,口 吐 血 沫
高 血 压,收 缩 期 杂 音
股 阴 痛,内 脏 性 腹 痛
骨 痛,咽 痛 口 干
骨 质 破 坏,余 热 扰 膈 不 寐
鼓 膜 异 常,呼 吸 浅 慢
鼓 膜 异 常,呼 吸 深 快
鼓 膜 异 常,进 食 呕 吐
关 节 变 形,对 光 反 射 迟 钝
关 节 变 形,踝 关 节 疼 痛
关 节 变 形,色 素 脱 失
关 节 痛,先 兆 早 产
黑 蒙,头 痛 胸 闷
红 斑,股 阴 痛
红 斑,足 趾 发 绀
喉 痒,皮 肤 软 组 织 感 染
呼 吸 节 律 异 常,听 力 下 降
呼 吸 节 律 异 常,听 阈 上 升
呼 吸 节 律 异 常,牙 齿 数 目 不 足
呼 吸 困 难,耳 道 划 伤
呼 吸 困 难,肾 区 叩 痛
呼 吸 困 难,视 近 困 难
呼 吸 困 难,仰 卧 位 低 血 压 晕 厥
呼 吸 异 常,耳 道 堵 塞
呼 吸 异 常,眉 毛 排 列 不 规 则
呼 吸 异 常,牙 齿 数 目 过 剩
黄 疸,双 下 肢 渐 进 性 无 力 、 麻 木
会 阴 痛,背 脊 痛
会 阴 痛,腰 背 酸 痛
会 阴 痛,长 骨 肿 胀 疼 痛
昏 厥,急 性 充 血 性 心 力 衰 竭
肌 肉 异 常,感 应 性 腹 痛
肌 肉 异 常,肛 门 异 位
肌 肉 异 常,胸 部 过 度 回 响
肌 痛 症,黏 液 或 脓 血 便
肌 张 力 异 常,耳 道 异 物
肌 张 力 异 常,失 水 多 于 失 钠
激 动,儿 童 偏 头 痛
急 腹 症,口 有 溴 味 及 咸 味
急 腹 症,椎 退 化
急 腹 症,坐 骨 直 肠 窝 脓 肿
脊 髓 病 变,光 反 应 消 失
脊 髓 病 变,颈 椎 间 盘 突 出
脊 髓 病 变,颈 椎 变 形
脊 柱 生 理 弯 曲 异 常,齿 龈 铅 线
脊 柱 生 理 弯 曲 异 常,鼓 膜 发 红
脊 柱 生 理 弯 曲 异 常,听 力 缺 陷
甲 身 凹 沟,痰 饮 恶 寒
肩 痛,弥 漫 性 充 血
睑 弦 赤 烂,一 过 性 瘫 痪 反 射 异 常 耳 聋
健 忘,妊 娠 偏 头 痛
绞 痛,剧 烈 咳 嗽 后 头 痛
结 节,结 肠 息 肉
近 视,少 气 懒 言 口 干 尿 黄
经 期 延 长,老 年 心 绞 痛
精 神 异 常,肝 功 能 异 常
精 神 异 常,颈 椎 间 盘 退 变
精 神 异 常,男 性 乳 房 发 育
颈 痛,脾 虚 身 肿
颈 部 疼 痛,甲 亢 危 象
颈 椎 形 态 异 常,鼓 膜 充 血
颈 椎 形 态 异 常,精 子 凝 集
颈 椎 形 态 异 常,瞳 孔 不 对 称
痉 挛,妊 娠 皮 肤 瘙 痒 黄 疸
菌 尿,反 射 性 耳 痛
咳 嗽,刺 刀 状 手
咳 嗽,寒 邪 外 束 寒 战
咳 嗽,神 志 昏 蒙
咳 嗽,痛 性 红 舌
咳 嗽,阵 发 性 腹 痛
咳 血,黏 膜 疹
口 淡,产 后 自 汗 盗 汗
口 眼 歪 斜,纤 维 性 钙 化 结 节
溃 疡,干 咳 气 促 盗 汗 颧 红
流 泪,肝 硬 化 腹 水
麻 痹,妊 娠 咳 嗽 气 短
麻 疹,咽 干 咽 痛
毛 发 异 常,食 管 过 短
毛 发 异 常,听 阈 上 升
毛 发 异 常,婴 儿 睡 觉 惊 跳
面 部 斑,热 入 营 血 暴 盲
面 肌 抽 搐,痰 浊 扰 心 健 忘
面 容 异 常,舌 感 觉 异 常
面 容 异 常,胸 廓 双 侧 扩 张 度 减 弱
面 容 异 常,牙 齿 较 小 呈 半 透 明 状
木 僵,血 崩 腹 痛
黏 膜 疹,鼻 前 庭 皮 肤 红 肿 疼 痛
尿 频,新 生 儿 皮 疹
尿 血,风 热 犯 肺 鼻 痒
尿 潴 留,痰 饮 眩 晕
脓 疱,汞 毒 性 震 颤
脓 肿,气 虚 腹 痛
呕 吐,直 肠 息 肉
皮 肤 结 节,胰 源 性 腹 痛
皮 肤 痛,手 足 痉 挛
皮 肤 痣,巩 膜 出 血
偏 头 痛,肺 胃 热 盛 鼻 痛
偏 盲,腹 胀 嗳 腐
贫 血,肛 门 闭 锁
贫 血,听 力 缺 陷
贫 血,斜 视 性 弱 视
脐 肿 物,肌 肉 萎 缩 无 力
气 喘,腹 痛 恶 心 呕 吐
强 迫 性 体 位,过 度 通 气
强 迫 性 体 位,经 期 缩 短
强 迫 性 体 位,尿 流 缓 慢
乳 房 发 育 异 常,呼 吸 浅 速
乳 房 发 育 异 常,乳 房 发 育 不 良
乳 房 发 育 异 常,乳 腺 胀 痛
乳 房 疼 痛,前 臂 和 腕 部 的 疼 痛
乳 房 疼 痛,肾 区 胀 痛
乳 房 疼 痛,腕 部 疼 痛
乳 房 疼 痛,新 生 儿 母 乳 喂 养 后 黄 疸
乳 房 肿 块,肝 郁 气 滞 憋 气
上 肢 畸 形,上 肢 疼 痛
上 肢 畸 形,无 耳
上 肢 畸 形,饮 气 痞
上 肢 痛,虹 膜 表 面 形 成 灰 白 色 肿 瘤 结 节
少 尿,眼 脸 痉 挛 头 痛
舌 紫,产 后 肥 胖
舌 干,紫 外 线 照 射 后 眼 痛
舌 强,恶 心 或 呕 吐
舌 生 芒 刺,上 腹 饱 胀
舌 纵,泡 样 水 肿
身 肿,肌 肉 硬 结
神 昏,水 肿 伴 呼 吸 困 难
肾 区 痛,胎 儿 心 动 过 缓
生 殖 器 溃 疡,冬 季 皮 肤 瘙 痒
失 眠,间 歇 性 寒 战 高 热
失 水,痘 疮 发 热
失 语,弥 漫 性 头 痛
湿 疹,包 皮 红 肿 热 痛
食 管 形 态 异 常,过 食 生 冷 积 滞
食 管 形 态 异 常,呼 气 中 有 甜 臭 味
食 管 形 态 异 常,进 食 呕 吐
疼 痛,脊 柱 弯 曲
视 力 障 碍,舒 张 期 震 颤
视 力 障 碍,味 觉 减 退
视 力 障 碍,嗅 觉 缺 失
嗜 睡,慢 性 腰 痛
手 颤,疥 疮 结 节
衰 竭,瘀 血 阻 络 胁 痛
水 疱,肝 痛
水 肿,骶 尾 部 或 下 肢 痛
睡 眠 行 为 异 常,耳 鼓 膜 破 裂
睡 眠 行 为 异 常,偏 执 状 态
睡 眠 行 为 异 常,牙 列 拥 挤
睡 眠 障 碍,恶 心 呕 吐
睡 眠 障 碍,怀 孕 后 白 带 发 黄
睡 眠 障 碍,口 吃
睡 眠 障 碍,讷 吃 现 象
睡 眠 障 碍,午 后 头 痛
四 肢 麻 木,布 鲁 金 斯 氏 征
四 肢 麻 木,绿 色 弱
四 肢 麻 木,麻 疹
四 肢 痛,毛 细 血 管 出 血
胎 死 不 下,痰 饮 胁 痛
瘫 痪,肝 胆 湿 热 胁 痛
疼 痛,颌 面 部 炎 性 肿 物
听 觉 异 常,耳 垂 过 大
听 觉 异 常,牙 齿 小 而 稀 疏
听 觉 异 常,指 甲 翘 起
听 觉 障 碍,产 后 抑 郁 症
听 觉 障 碍,耳 神 经 痛
听 觉 障 碍,梦 魇
瞳 孔 异 常,听 力 缺 陷
瞳 孔 异 常,眼 球 运 动 障 碍
瞳 孔 异 常,周 身 出 汗
痛,白 色 疱 疹 乏 力 口 渴
痛,斑
痛,刺 痒 感
痛,大 肠 湿 热 壮 热
痛,腹 部 肿 块
痛,骨 盆 直 肠 窝 脓 肿
痛,红 斑 丘 疹
痛,喉 粘 膜 水 肿
痛,甲 身 凹 沟
痛,剧 烈 哮 喘
痛,眶 周 瘀 斑
痛,男 性 肛 门 瘙 痒
痛,脓 疱
痛,轻 度 瘙 痒
痛,乳 腺 内 无 痛 单 发 的 硬 肿 块
痛,深 部 软 组 织 血 肿
痛,水 肿 脸
痛,头 皮 下 血 肿
痛,腕 背 侧 脓 肿
痛,胃 火 燔 齿 牙 齿 浮 动
痛,无 痛 肿 块
痛,下 肢 水 肿
痛,小 腿 浮 肿
痛,胸 部 丘 疹
痛,血 热 风 燥 头 面 瘙 痒
痛,血 肿 或 皮 下 出 血
痛,眼 部 红 肿
痛,眼 睑 水 肿
痛,痒
痛,阴 茎 和 阴 囊 水 肿
痛,阴 囊 血 肿
痛,肢 体 水 肿
痛,中 指 指 甲 凹 陷
痛,肿
痛,周 身 水 肿
头 痛,脾 肺 气 虚 咳 血
头 痛,牵 涉 痛
头 痛,下 肢 疼 痛
头 痛,眼 及 皮 肤 发 黄
头 痛,眼 睛 刺 痛
头 皮 痛,全 身 肌 肉 关 节 酸 痛
腿 脚 抽 筋,亚 健 康 型 心 悸
吞 酸,吞 咽 时 胸 痛
吞 咽 困 难,蓝 鼓 膜 征
吞 咽 困 难,上 台 阶 困 难
吞 咽 困 难,婴 儿 过 胖
脱 发,眼 睛 上 火
脱 肛,剧 烈 运 动 后 头 痛
脱 屑,孕 妇 发 热 寒 战
外 耳 道 异 常,潮 式 呼 吸
外 耳 道 异 常,双 耳 廓 缺 损
外 耳 道 异 常,听 力 减 退
外 阴 痛,盆 腔 肿 块
畏 光 流 泪,暴 力 作 用 后 腹 痛
畏 光,抽 搐 无 力
胃 痛,恶 寒 伴 口 燥 咽 干
无 汗,寒 湿 凝 滞 足 痛
膝 痛,鼻 前 庭 皮 肤 红 肿
下 颌 痛,乳 晕 痒
下 肢 痛,跖 部 纤 维 痛
夏 季 热,弥 漫 性 腹 痛
消 瘦,风 痰 内 闭 神 昏
消 瘦,烧 心 与 反 酸
小 腹 痛,妊 娠 烦 渴
小 便 疼 痛,小 儿 痴 呆
斜 视,黑 蒙
斜 视,口 粘 腻
斜 视,小 眼 球
心 汗,劳 力 性 晕 厥
心 力 衰 竭,耳 源 性 耳 痛
心 律 失 常,急 性 肾 衰 竭
心 脏 搏 动 异 常,唇 甲 色 淡
心 脏 搏 动 异 常,强 迫 性 头 位
心 脏 搏 动 异 常,阴 毛 脱 落
心 脏 杂 音,大 量 稀 涕 鼻 堵 喷 嚏
心 脏 杂 音,强 迫 性 性 行 为
心 脏 杂 音,睡 眠 惊 恐
性 冷 淡,热 入 营 血 口 渴
性 早 熟,鼓 膜 发 红 耳 后 红 肿
胸 痛,分 离 性 感 觉 障 碍
胸 痛,肛 门 直 肠 胀 痛
胸 痛,肾 虚 带 下
胸 痛,四 肢 疼 痛
胸 痛,阴 虚 血 热 不 孕
胸 痛,孕 中 期 腹 痛
胸 部 异 常 叩 诊 音,肌 肉 坚 硬
胸 部 异 常 叩 诊 音,腕 银 叉 状 畸 形
胸 部 异 常 叩 诊 音,胸 骨 后 灼 痛
胸 廓 异 常,胡 桃 夹 食 管
胸 廓 异 常,色 素 脱 失
胸 廓 异 常,牙 齿 小 且 无 光 泽
眩 晕,假 性 失 眠
血 管 痣,顽 固 性 肝 腹 水
血 尿,排 便 困 难 四 肢 不 温
血 疱,饱 食 后 胸 痛
压 痛,脾 气 虚 弱 喷 嚏
牙 痛,婴 儿 湿 疹 结 痂
牙 痛,原 发 性 失 眠
牙 齿 结 构 异 常,呼 吸 深 慢
牙 齿 结 构 异 常,眉 毛 排 列 不 规 则
牙 齿 结 构 异 常,指 甲 细 长
牙 齿 松 动,颧 红 盗 汗
牙 齿 颜 色 异 常,青 春 期 胸 部 发 育 缓 慢
牙 齿 颜 色 异 常,胸 肌 反 射 亢 进
牙 齿 颜 色 异 常,牙 龈 出 血
牙 齿 异 常,口 吐 血 沫
牙 齿 异 常,毛 发 变 异
牙 齿 异 常,舌 两 侧 边 缘 毛 状 白 斑
牙 龈 异 常,人 格 改 变
牙 龈 异 常,手 指 冻 肿
牙 龈 异 常,饮 气 痞
咽 痛,颅 内 头 痛
言 语 障 碍,定 向 力 障 碍
言 语 障 碍,短 期 失 眠
言 语 障 碍,意 识 短 暂 中 断
眼 痛,肌 肉 酸 痛
眼 痛,内 踝 下 区 域 疼 痛 肿 胀
眼 痛,眼 裂 歪 斜
眼 睑 闭 合 不 全,头 痛 无 汗
眼 睛 遇 热 痒 痛,搏 动 性 头 痛
眼 裂 异 常,叹 息 样 呼 吸
眼 裂 异 常,牙 齿 萌 出 异 常
眼 裂 异 常,拥 抱 反 射
眼 球 运 动 障 碍,偏 执 状 态
眼 球 运 动 障 碍,听 力 减 退
眼 球 运 动 障 碍,重 音 现 象
眼 震,风 热 犯 肺 恶 寒 发 热
厌 食,阴 部 象 皮 肿
痒,斑
痒,带 状 疱 疹
痒,耳 核 肿 痛
痒,关 节 痛
痒,寒 冷 性 多 形 红 斑
痒,红 斑 或 丘 疹
痒,肌 腱 囊 肿
痒,睑 黄 斑 瘤
痒,结 膜 水 肿 和 充 血
痒,局 部 皮 肤 红 肿 及 压 痛
痒,老 年 性 色 斑
痒,皮 肤 局 部 刺 痛
痒,皮 肤 血 斑
痒,人 流 后 乳 房 胀 痛
痒,粟 粒 样 脓 头
痒,小 腹 痛
痒,小 儿 右 上 腹 阵 发 性 绞 痛
痒,小 腿 浮 肿
痒,胁 肋 灼 痛
痒,心 肌 脓 肿
痒,眼 睑 闭 合 不 全
痒,眼 睑 红 肿 及 结 膜 充 血
痒,腰 骶 部 酸 痛
痒,阴 囊 阴 茎 象 皮 肿
痒,肿
痒,足 部 肿 胀 压 痛
痒 感,耳 后 淋 巴 结 肿 大
腰 痛,肠 鸣 泄 泻
腰 痛,意 识 障 碍 和 昏 迷
腰 疼,感 染 性 发 热
腰 疼,四 肢 疼 痛 无 力
腰 腿 痛,急 性 牙 痛
遗 尿,婴 儿 肌 张 力 异 常
异 常 姿 势,上 肢 偶 尔 麻 痹
异 常 姿 势,心 前 区 隆 起
异 常 姿 势,一 侧 下 肢 腱 反 射 亢 进
抑 郁,血 崩 心 痛
意 识 障 碍,内 翻 足
意 识 障 碍,瞳 孔 缩 小
意 识 障 碍,眼 底 点 状 或 火 焰 状 出 血
溢 乳,非 疾 病 性 耳 痛
阴 道 出 血,胁 部 肿 胀
营 养 不 良,肌 疲 劳 和 肌 无 力
硬 化,气 虚 血 亏 足 痛
月 经 提 前,风 寒 束 表 身 痛
晕 厥,脾 肾 阳 虚 胁 痛
早 泄,鼻 粘 膜 溃 疡 和 萎 缩
胀 感,乏 力 口 渴
疹,斑
疹,刺 痛 及 烧 灼 感
疹,胆 绞 痛
疹,腹 腔 囊 肿
疹,肝 水 肿
疹,肛 门 直 肠 胀 痛
疹,肩 背 痈 肿
疹,颈 背 部 压 痛
疹,局 部 皮 肤 瘙 痒
疹,纳 氏 腺 囊 肿
疹,男 性 小 便 刺 痛
疹,黏 膜 黑 斑
疹,青 色 瘀 斑
疹,舌 唇 色 紫 舌 大 苔 焦
疹,生 殖 器 溃 疡
疹,腿 脚 抽 筋
疹,下 腹 绞 痛
疹,下 腹 部 钝 痛 和 酸 胀 感
疹,小 腿 浮 肿
疹,心 汗
疹,咽 喉 部 干 燥 刺 痒
疹,颜 面 的 火 焰 状 母 斑
疹,痒
疹,阴 茎 瘙 痒
疹,阴 雨 天 颈 肩 背 部 酸 痛
疹,粘 膜 充 血 红 斑
疹,肿
肢 痛,喉 部 溃 疡
肢 肿,上 腹 隐 痛
肢 体 或 躯 干 麻 木,前 臂 疼 痛
肢 体 或 躯 干 麻 木,上 肢 疼 痛 异 常
肢 体 或 躯 干 麻 木,肢 体 肿 胀
直 肠 痛,胸 廓 单 侧 畸 形
指 甲 异 常,满 月 脸
指 甲 异 常,希 氏 面 容
指 甲 异 常,心 动 过 缓
痔 疮,梦 魇
痔 疮,腕 部 疼 痛
痔 疮,胸 部 过 度 回 响
肿,斑
肿,潮 红 瘙 痒
肿,持 续 性 弛 张 热
肿,耳 内 刺 痛
肿,房 事 淡 漠
肿,肝 区 有 叩 击 痛
肿,骨 压 痛 频 繁
肿,胫 前 黑 斑
肿,口 唇 刺 痛
肿,口 唇 周 围 麻 木 感 刺 痛
肿,淋 巴 结 压 痛
肿,麻 疹 粘 膜 斑
肿,毛 囊 丘 疹
肿,明 显 触 痛
肿,男 性 小 腹 坠 痛
肿,黏 膜 白 斑
肿,躯 干 和 下 肢 瘙 痒
肿,瘙 痒 或 疼 痛
肿,肾 绞 痛
肿,肾 区 有 叩 痛
肿,下 焦 寒 湿 阴 囊 瘙 痒
肿,消 瘦
肿,小 儿 干 咳
肿,性 冷 淡
肿,性 欲 减 退
肿,胸 骨 后 刺 痛
肿,痒
肿,腰 背 刺 痛 偶 发
肿,腰 部 触 痛
肿,阴 雨 天 颈 肩 背 部 酸 痛
肿,孕 妇 耻 骨 痛
肿,直 肠 痛
肿,周 身 关 节 肌 肉 酸 痛
肿 胀,胁 肋 灼 痛
肘 痛,遗 精 带 下
灼 热 痛,刷 牙 时 恶 心
自 动 症,耳 后 红 肿 热 痛
自 汗,癌 症 性 恶 心 呕 吐
足 畸 形,手 指 冻 肿 严 重
足 畸 形,胸 廓 塌 陷 畸 形
足 畸 形,胸 廓 一 侧 膨 隆
醉 酒,猩 红 热 样 皮 疹
频 繁 脚 汗,偶 尔 出 脚 汗
偶 发 劳 累 后 胸 闷,频 繁 劳 累 后 感 觉 胸 闷
劳 累 后 偶 尔 感 觉 胸 闷,劳 累 后 频 繁 胸 闷
肌 肤 麻 木,频 繁 出 现 肿 痛
酒 渣 鼻,频 繁 出 现 酸 痛
腹 痛,左 腕 部 略 微 疼 痛
口 中 生 疮,右 腕 急 剧 疼 痛
便 失 禁,右 手 腕 部 稍 痛
肢 体 痿 废,右 腕 部 稍 疼
小 儿 五 硬,舌 破 严 重
黄 褐 斑,轻 微 舌 衄
大 便 溏,舌 腐 严 重
经 断 复 来,肾 功 能 重 度 衰 竭
慢 惊 风,偶 尔 梦 呓
产 后 乳 汁 自 出,泛 酸 严 重
发 热 怕 冷,舌 胖 严 重
口 流 涎,盆 腔 大 量 包 块
颈 部 疼 痛,偶 发 肌 肤 不 仁
肛 门 失 禁,皮 肤 少 量 瘀 斑
上 吐 下 泻,皮 肤 软 组 织 严 重 感 染
小 便 浑 浊,皮 肤 大 量 出 血 斑
头 皮 屑 多,偶 发 心 动 过 速
唇 风,毛 孔 严 重 堵 赛
粉 刺,口 唇 麻 木 感 刺 痛
手 足 脱 皮 症,频 发 心 悸
皮 肤 粟 疹,大 量 挛 缩 性 疤 痕
牛 皮 癣,动 静 脉 轻 度 扩 张
生 殖 器 疱 疹,手 痒
乳 汁 不 通,内 踝 下 轻 度 疼 痛 肿 胀
女 性 外 阴 白 斑,频 繁 磨 牙
小 儿 多 动 症,皮 肤 少 量 红 斑
小 儿 哭 闹,偶 发 谵 语
小 便 频 数,严 重 昏 冒
小 腹 痛,偶 发 月 经 失 调
心 慌,偶 发 月 经 不 调
疼 痛,偶 发 行 经 失 调
血 压 高,面 肌 轻 微 痉 挛
乳 房 疼 痛,恶 梦 频 繁
口 干 渴,杨 梅 疮 严 重
脚 热,轻 微 腭 裂
哮 鸣 音,轻 微 口 疮
心 中 懊 恼,偶 发 结 巴
大 便 艰 难,偶 发 磕 巴
脸 部 脱 屑,偶 发 心 理 过 敏
女 性 不 孕,脖 子 稍 痛
咽 喉 异 物 感,女 性 粗 脖 子
小 儿 抽 动 症,抽 搐 频 繁
小 儿 紫 癜,颈 痛 剧 烈
腋 下 红 肿,剧 烈 项 痛
妊 娠 瘙 痒 症,经 期 有 少 量 血 块
血 汗,偶 尔 抽 风
睡 眠 过 度,常 常 抽 筋
胡 言 乱 语,频 繁 寒 战
胡 言 乱 语,振 寒 频 繁
咽 喉 痛,腿 部 时 常 抽 筋
瘊 子,腿 部 偶 尔 抽 搐
侏 儒 症,频 发 寝 汗
寒 颤,偶 尔 盗 汗
四 肢 痿 废,频 发 错 觉
指 甲 变 形,时 常 出 现 幻 觉
初 生 不 乳,频 繁 流 鼻 血
腹 部 肿 块,轻 度 熊 猫 眼
足 痛,略 微 龅 牙
紫 绀,左 手 腕 部 稍 痛
肢 体 肿 胀,左 腕 部 略 微 疼 痛
下 腹 部 压 痛,局 部 疼 痛 肿 胀
肥 大,反 复 少 量 阴 道 出 血
视 力 障 碍,局 部 有 隐 痛
视 力 障 碍,右 手 肘 疼 痛 剧 烈
视 力 障 碍,偶 发 结 巴
视 力 障 碍,心 房 纤 颤 严 重
肝 功 能 异 常,肠 痉 挛 肢 体 疼 痛
肝 功 能 异 常,乳 突 部 皮 肤 轻 度 肿 胀
肝 功 能 异 常,周 身 关 节 肌 肉 酸 痛
肥 大,眼 睑 皮 肤 红 肿
呼 吸 异 常,肝 脾 淋 巴 结 肿 大
呼 吸 异 常,肌 肉 关 节 疼 痛
呼 吸 异 常,虚 火 灼 齿 牙 痛
强 迫 观 念,持 续 性 腰 痛 伴 有 晨 僵
强 迫 观 念,圆 形 或 卵 圆 形 丘 疹 或 结 节
强 迫 观 念,短 暂 性 偏 瘫 及 共 济 失 调
咳 嗽,间 歇 性 隐 痛 或 钝 痛
咳 嗽,一 过 性 发 热 及 黄 疸
发 热,小 腿 腓 部 肌 肉 疼 痛 和 压 痛
发 热,皮 肤 刺 痛 瘙 痒 并 伴 有 荨 麻 疹
步 态 异 常,左 上 腹 肿 块 伴 有 呕 血 与 黑 便
步 态 异 常,阴 道 痛 、 烧 灼 感
头 痛,面 部 肌 肉 麻 痹 与 痉 挛
头 痛,膝 关 节 间 隙 弹 响 和 疼 痛
肢 体 或 躯 干 麻 木,面 部 疼 痛 及 面 瘫
肢 体 或 躯 干 麻 木,腰 部 酸 胀 及 无 力
肢 体 或 躯 干 麻 木,颌 下 腺 疼 痛 、 压 痛
指 甲 异 常,淋 巴 结 肿 大 并 伴 触 痛
指 甲 异 常,右 上 腹 隐 痛 和 不 适
指 甲 异 常,腹 部 肿 块 及 腹 胀
疼 痛,半 身 无 力 或 偏 瘫
疼 痛,易 疲 乏 无 力
肿 胀,小 腿 腓 部 肌 肉 疼 痛 压 痛
